QUẬN HUYỆN,DIỆN TÍCH - M2,HƯỚNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ,GIÁ - TRIỆU ĐỒNG
Quận 7,106,,3,2,Đã có sổ,3900
Quận 7,256,,5,4,Đã có sổ,20000
Quận 9,31,,1,1,Đang chờ sổ,1270
Quận 4,65,,2,2,,4500
Quận 6,62,Bắc,1,,Đang chờ sổ,2800
Quận 2,76,,2,2,Đang chờ sổ,3850
Quận 7,74,,2,2,Đang chờ sổ,2900
Quận 9,74,,2,2,,3700
Quận 9,68,,2,2,Giấy tờ khác,2650
Quận 12,57,,2,1,Đang chờ sổ,1940
Quận 9,81.5,,3,2,,3187
Quận 9,60,,2,2,Đang chờ sổ,1600
Quận Thủ Đức,69,,2,2,,2500
Quận 10,61,,2,1,,4650
Quận 9,67,,2,2,,2350
Quận 7,72,Tây Nam,2,2,Đang chờ sổ,4150
Quận 4,117,,3,2,Đang chờ sổ,6500
Quận Thủ Đức,68,,2,2,Đang chờ sổ,260
Quận 7,65,,2,2,Đang chờ sổ,2100
Quận 7,85,,3,2,Đã có sổ,2900
Quận Tân Phú,66,,2,1,Đang chờ sổ,2900
Quận 1,50,Đông,1,,Đã có sổ,1390
Quận 12,80,,3,2,Đang chờ sổ,2650
Quận 12,54,,2,1,Đã có sổ,2200
Quận Bình Thạnh,88,Nam,2,2,Đã có sổ,6700
Quận 9,69.2,,2,2,,2600
Quận Tân Phú,52,,2,2,Đã có sổ,1700
Quận 7,53.2,,1,1,Đang chờ sổ,980
Quận 7,88,,3,2,Đã có sổ,3200
Quận Tân Bình,70,,2,2,,4200
Quận 8,72.5,,2,2,Đang chờ sổ,2300
Quận Bình Tân,56,Đông,2,2,Đang chờ sổ,3250
Quận 6,102,Đông,2,2,Đã có sổ,3700
Quận Tân Phú,48,,2,2,Đã có sổ,3100
Quận 8,73,,2,2,,2300
Quận Thủ Đức,70,,2,2,Đang chờ sổ,3350
Quận 8,89,,2,2,Đang chờ sổ,3100
Quận 12,60,Nam,2,1,Giấy tờ khác,1800
Quận Tân Phú,86,Nam,3,2,Đang chờ sổ,3080
Quận 12,83.37,,2,2,Đã có sổ,1900
Huyện Bình Chánh,59,,2,1,Đã có sổ,1900
Huyện Nhà Bè,75,,2,2,Đã có sổ,1650
Quận 9,68,Đông Bắc,2,2,,2300
Quận 7,58,,2,1,Đã có sổ,2250
Quận 6,75,Tây,2,2,Đã có sổ,2600
Quận 7,73,,2,1,Đang chờ sổ,2450
Quận 2,74,Tây,2,2,Đang chờ sổ,1992
Quận Thủ Đức,37,Đông,1,1,Đã có sổ,1100
Quận Thủ Đức,86,Đông Nam,2,2,Đang chờ sổ,3200
Quận 2,51.18,,1,2,Đang chờ sổ,4150
Quận Bình Tân,75,,2,2,,2508
Quận Tân Phú,64,,2,1,Đang chờ sổ,2450
Quận 9,73,,2,2,Đang chờ sổ,480
Quận 9,67,,2,2,Đang chờ sổ,1659
Quận Bình Thạnh,38,,1,,Đang chờ sổ,2050
Quận Tân Phú,91,Tây,3,2,Đang chờ sổ,3800
Quận Bình Thạnh,68,Tây,2,2,Đã có sổ,3100
Quận 8,26,Đông Bắc,1,1,Đang chờ sổ,1290
Quận 9,75,,2,2,Đang chờ sổ,1320
Huyện Nhà Bè,75,,2,2,Đã có sổ,1820
Huyện Bình Chánh,70,,2,2,Đã có sổ,1680
Quận Tân Bình,70,,2,2,,4200
Quận 8,52,,2,1,,1300
Quận Thủ Đức,52,,2,2,Đã có sổ,1500
Huyện Nhà Bè,100,,2,2,,2250
Quận Bình Tân,60,,2,1,,1468
Quận Bình Tân,50,,2,1,Đã có sổ,1335
Quận 6,65,Tây,2,2,Đã có sổ,2299
Quận Tân Phú,44,,1,1,Đã có sổ,1450
Quận 7,99,,3,2,,4500
Quận 2,73,,3,2,Đã có sổ,2200
Quận Bình Tân,56,,2,1,Đang chờ sổ,2300
Quận 10,70,,2,2,Đang chờ sổ,4500
Quận Tân Phú,63,,2,1,,2400
Quận 7,53,Tây,1,1,Đang chờ sổ,2220
Quận Bình Thạnh,81,Tây,3,2,,3100
Quận 2,60,,2,2,Giấy tờ khác,3200
Quận Tân Phú,85.5,Đông Nam,2,2,Giấy tờ khác,5182
Quận Tân Phú,50,,1,1,,2000
Quận Thủ Đức,67,Tây,2,2,Giấy tờ khác,2970
Quận Bình Thạnh,68,,2,2,,3000
Quận 7,56.51,,2,1,Đã có sổ,2250
Quận 2,200,,4,3,Đã có sổ,8500
Quận 9,58,,2,2,,1400
Quận 8,64,Tây Bắc,2,2,Đang chờ sổ,1700
Quận 7,37,,1,1,,1700
Quận 8,55.3,Tây,1,1,,1650
Quận 9,39.4,Tây Bắc,1,1,Giấy tờ khác,1750
Quận 2,60,Đông Nam,2,1,Đang chờ sổ,1650
Quận 7,62,,2,2,Đang chờ sổ,2200
Quận 8,69,Đông Bắc,2,2,Đang chờ sổ,2300
Quận Tân Phú,120,Tây Bắc,2,2,Giấy tờ khác,7500
Quận Tân Phú,204.2,Tây Bắc,3,2,Đang chờ sổ,11200
Quận 7,38,,1,1,,1700
Quận 9,67,Đông Nam,2,2,Đã có sổ,2900
Quận Tân Phú,77,Bắc,2,2,Đang chờ sổ,2850
Quận 9,59,,2,1,,1460
Quận 10,45,Nam,1,1,Giấy tờ khác,2300
Quận 2,50,,1,1,Đã có sổ,3700
Quận 7,161,Tây,3,4,Đang chờ sổ,2550
Quận 9,49,Tây,2,1,Đã có sổ,1680
Quận Tân Phú,74,,2,2,Đã có sổ,2350
Quận Bình Tân,70,,2,2,Đã có sổ,2700
Quận 9,67,Bắc,2,2,Đang chờ sổ,2650
Quận 8,73,Tây Bắc,2,2,Đang chờ sổ,2390
Quận Tân Phú,54,,2,1,,2540
Quận 9,69,Đông Nam,2,2,Đang chờ sổ,2550
Quận Tân Phú,98,,1,1,Giấy tờ khác,8200
Quận Tân Phú,53,Tây Bắc,2,1,Giấy tờ khác,2280
Quận 2,80,Đông Nam,2,3,Đã có sổ,2200
Quận Bình Tân,75,,2,2,,2460
Quận Thủ Đức,50,Đông Nam,2,1,Đã có sổ,1850
Quận Thủ Đức,86,Đông,3,2,Đang chờ sổ,3850
Quận 9,65,,2,1,Đang chờ sổ,1680
Quận 5,66,,2,1,Đã có sổ,1850
Quận 11,86,,3,2,Đã có sổ,5000
Quận Thủ Đức,60,,2,2,Đang chờ sổ,1700
Quận Tân Phú,54,,2,1,,2470
Quận 7,80,,2,2,Đã có sổ,2500
Quận 8,78.88,,2,2,Đang chờ sổ,2479
Quận 7,128,,3,2,Đã có sổ,10480
Quận 7,38,Tây,1,1,Giấy tờ khác,450
Quận Bình Thạnh,68,Tây Bắc,2,1,Đã có sổ,2750
Quận Tân Phú,55,Đông,2,1,Đang chờ sổ,2000
Quận 2,73,,2,2,Đã có sổ,4777.777
Quận Bình Tân,68,,2,2,Đang chờ sổ,2420
Quận Bình Thạnh,151,Đông,4,3,Đang chờ sổ,17000
Huyện Nhà Bè,60,,2,2,Đang chờ sổ,3000
Quận 4,57,Đông Bắc,2,1,Đang chờ sổ,3980
Quận 2,73.2,Tây Bắc,2,2,Đang chờ sổ,7500
Quận 8,68,,2,2,Đã có sổ,2900
Quận 1,52,,1,1,Đã có sổ,3750
Quận 2,101,Đông Nam,3,2,,6310
Quận 4,30,Tây,1,1,Đã có sổ,2800
Quận 1,66,Đông Nam,2,2,Đang chờ sổ,18000
Quận 7,40,Nam,1,1,Đang chờ sổ,1800
Quận Tân Phú,91,,3,2,,3700
Huyện Nhà Bè,83,,3,2,Đang chờ sổ,3400
Quận 7,76,,2,2,Giấy tờ khác,2500
Quận Phú Nhuận,84,Đông Nam,5,3,Đã có sổ,21000
Quận 3,82,,2,2,Đã có sổ,5300
Huyện Bình Chánh,,,2,2,Đang chờ sổ,1950
Quận 10,86,Đông Nam,2,2,Đang chờ sổ,6300
Quận Thủ Đức,67,,2,2,,2750
Quận 9,58,,2,1,Đã có sổ,1500
Quận 3,141,,,,Đã có sổ,45000
Quận 8,54,Đông Nam,2,1,Giấy tờ khác,1800
Quận 9,58,,2,2,,1400
Quận 7,93,Đông Bắc,3,2,Giấy tờ khác,3050
Quận Thủ Đức,87,,3,2,,3500
Quận Thủ Đức,58,Đông Nam,2,2,Giấy tờ khác,1100
Huyện Bình Chánh,63,,2,1,,1380
Quận 2,71.7,,2,2,Đang chờ sổ,7000
Quận 8,85.86,Nam,3,2,Đang chờ sổ,2795
Quận 8,72,Tây Bắc,2,2,Đang chờ sổ,2300
Huyện Nhà Bè,65,,2,2,Giấy tờ khác,3130
Quận Thủ Đức,84,,2,2,Đã có sổ,2330
Huyện Bình Chánh,115,Đông Nam,3,2,Đã có sổ,3450
Quận 1,16,Đông,1,,Đã có sổ,38000
Quận Tân Phú,53,,2,1,,2600
Quận 2,80,,2,2,Đang chờ sổ,5500
Quận 7,80,Bắc,2,2,Đã có sổ,2500
Quận 12,57,,2,1,Đang chờ sổ,2200
Quận Bình Thạnh,65,,2,2,Đã có sổ,2600
Quận Tân Bình,35,,1,,,2300
Quận Tân Phú,75,,2,2,Đã có sổ,2180
Quận Thủ Đức,47,,2,1,Đã có sổ,1100
Quận 4,115,Đông Bắc,3,2,Đang chờ sổ,6900
Quận 7,140,,1,1,Giấy tờ khác,8300
Quận 9,55,,1,1,Đã có sổ,1700
Huyện Bình Chánh,59,,2,2,Đã có sổ,2000
Huyện Bình Chánh,80,,2,2,,3424
Quận 2,101,,3,2,Đang chờ sổ,5352
Quận 9,59.4,,2,1,Đang chờ sổ,1996
Quận 2,51,Đông Bắc,1,1,Đã có sổ,2450
Quận 7,50,,2,2,Giấy tờ khác,1360
Quận Phú Nhuận,36,Đông Nam,1,1,Giấy tờ khác,1850
Quận 2,82,,2,2,Đã có sổ,2200
Huyện Bình Chánh,65,,2,2,Đang chờ sổ,2250
Quận 7,70,,2,2,Đang chờ sổ,3100
Quận Bình Thạnh,150,,4,3,Đang chờ sổ,9500
Quận 7,75,,2,2,,2850
Quận 12,65,Tây Bắc,2,2,Đã có sổ,2380
Quận 9,47,,2,1,Đang chờ sổ,1271
Quận 9,59,,2,1,,1399
Huyện Nhà Bè,72,Đông Bắc,2,2,Đã có sổ,1790
Quận Bình Tân,48,Đông Nam,1,1,Đang chờ sổ,1490
Quận Thủ Đức,63.18,,2,2,,1830
Quận 8,69,Đông,2,2,Đang chờ sổ,2300
Quận Bình Tân,67,,2,2,,1885
Quận Thủ Đức,51,,2,1,Đã có sổ,1750
Quận 12,79.12,Nam,3,2,Giấy tờ khác,3450
Quận 9,66,,3,2,Đang chờ sổ,1780
Quận Phú Nhuận,53,,1,1,Đang chờ sổ,3000
Quận 9,69,,2,2,Đang chờ sổ,2360
Quận 9,30,Tây Nam,1,1,,1240
Quận 9,68,Đông Nam,2,2,,2750
Quận Thủ Đức,50,Bắc,2,1,,1300
Quận Tân Phú,47,,1,1,Đang chờ sổ,1250
Quận 9,81,,3,2,Đang chờ sổ,2030
Quận 9,69,,2,2,Đang chờ sổ,2450
Quận Gò Vấp,69.3,,2,2,,4000
Quận Bình Tân,48,,1,1,Đã có sổ,950
Quận 7,77,,2,2,Đã có sổ,5200
Quận 5,79,,2,2,Đã có sổ,2740
Quận Bình Thạnh,54,Nam,2,1,Đã có sổ,2750
Quận 12,57,,2,1,Đang chờ sổ,600
Quận 9,58,,2,2,,1400
Quận Tân Phú,50,Đông Nam,2,1,Đã có sổ,2350
Quận Thủ Đức,70,Tây Nam,2,2,Đang chờ sổ,2150
Quận 2,59,Đông,2,2,Đang chờ sổ,1900
Huyện Bình Chánh,59,,2,2,Đang chờ sổ,2300
Huyện Bình Chánh,72,Nam,2,2,Đã có sổ,1700
Huyện Nhà Bè,97,Đông,2,2,Đã có sổ,2350
Quận Thủ Đức,55.62,Đông Bắc,2,1,Giấy tờ khác,1800
Quận Bình Tân,37,,1,1,Giấy tờ khác,760
Quận Thủ Đức,57,Đông Nam,2,2,,1650
Quận 9,47,,1,1,,1700
